Id,Prediction
0,15
1,98
2,92
3,47
4,40
5,91
6,67
7,48
8,1
9,6
10,57
11,91
12,87
13,54
14,71
15,52
16,81
17,5
18,50
19,49
20,35
21,49
22,58
23,38
24,3
25,26
26,55
27,27
28,65
29,13
30,34
31,71
32,49
33,38
34,4
35,99
36,90
37,44
38,51
39,97
40,75
41,46
42,56
43,87
44,14
45,31
46,9
47,95
48,23
49,8
50,81
51,58
52,5
53,72
54,97
55,13
56,28
57,23
58,63
59,13
60,45
61,41
62,48
63,31
64,90
65,86
66,17
67,18
68,5
69,86
70,13
71,18
72,99
73,86
74,11
75,33
76,10
77,15
78,65
79,74
80,32
81,3
82,74
83,80
84,10
85,76
86,36
87,82
88,8
89,91
90,86
91,48
92,24
93,74
94,38
95,43
96,8
97,79
98,71
99,58
100,3
101,60
102,4
103,25
104,57
105,92
106,83
107,13
108,70
109,29
110,65
111,59
112,3
113,0
114,28
115,51
116,60
117,98
118,52
119,35
120,42
121,29
122,38
123,78
124,56
125,9
126,41
127,68
128,88
129,33
130,17
131,9
132,6
133,10
134,27
135,97
136,8
137,20
138,38
139,4
140,32
141,7
142,32
143,69
144,98
145,41
146,50
147,14
148,3
149,4
150,33
151,12
152,19
153,24
154,64
155,89
156,86
157,49
158,66
159,31
160,54
161,87
162,17
163,1
164,35
165,57
166,77
167,53
168,48
169,82
170,40
171,98
172,33
173,87
174,13
175,68
176,69
177,77
178,37
179,79
180,8
181,42
182,55
183,21
184,37
185,21
186,61
187,41
188,65
189,33
190,27
191,19
192,85
193,84
194,6
195,41
196,66
197,31
198,2
199,4
200,34
201,26
202,33
203,22
204,64
205,19
206,85
207,32
208,79
209,68
210,17
211,5
212,90
213,31
214,35
215,63
216,4
217,90
218,42
219,0
220,27
221,41
222,53
223,26
224,41
225,28
226,4
227,22
228,44
229,98
230,23
231,91
232,9
233,71
234,73
235,89
236,45
237,72
238,10
239,8
240,81
241,75
242,85
243,49
244,27
245,79
246,17
247,2
248,14
249,46
250,66
251,69
252,24
253,16
254,25
255,49
256,15
257,49
258,21
259,59
260,33
261,86
262,14
263,74
264,30
265,16
266,28
267,95
268,67
269,38
270,21
271,16
272,3
273,0
274,55
275,15
276,72
277,90
278,70
279,3
280,6
281,84
282,80
283,15
284,97
285,52
286,24
287,0
288,14
289,79
